run IMDB with vanilla postgres
2: time consumption: 543871.326000 ms
0: time consumption: 596533.694000 ms
1: time consumption: 600718.333000 ms
2: time consumption: 581412.390000 ms
0: time consumption: 376234.109000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 382814.205000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 346296.521000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 708507.141000 ms
1: time consumption: 718436.848000 ms
2: time consumption: 728156.002000 ms
0: time consumption: 978064.998000 ms
1: time consumption: 1000767.281000 ms
2: time consumption: 14923.720000 ms
0: time consumption: 975927.187000 ms
1: time consumption: 978986.055000 ms
2: time consumption: 51058.298000 ms
0: time consumption: 13931.859000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 11217.697000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 10785.885000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 10763.931000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 10561.116000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 11244.245000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 10480.919000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 11274.799000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 10465.313000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 10685.041000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 10447.693000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 11001.035000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 10578.847000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 11472.566000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 10832.225000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 10822.489000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 10624.971000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 10670.761000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 667300.081000 ms
1: time consumption: 655625.507000 ms
2: time consumption: 653155.440000 ms
0: time consumption: 326459.675000 ms
1: time consumption: 310175.723000 ms
2: time consumption: 295785.791000 ms
0: time consumption: 803463.483000 ms
1: time consumption: 818495.636000 ms
2: time consumption: 9253.069000 ms
0: time consumption: 659382.489000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
